,basket_icon_click,basket_add_list,basket_add_detail,sort_by,image_picker,account_page_click,promo_banner_click,detail_wishlist_add,list_size_dropdown,closed_minibasket_click,checked_delivery_detail,checked_returns_detail,sign_in,saw_checkout,saw_sizecharts,saw_delivery,saw_account_upgrade,saw_homepage,device_mobile,device_computer,device_tablet,returning_user,loc_uk,ordered
basket_icon_click,1.0,0.467,0.53,0.073,0.083,0.057,0.109,0.044,0.292,0.324,0.406,0.067,0.479,0.459,0.009,0.053,0.031,0.203,0.016,-0.002,-0.006,0.127,0.019,0.428
basket_add_list,0.467,1.0,0.341,0.107,0.061,0.029,0.097,0.019,0.47,0.208,0.265,0.03,0.312,0.298,0.004,0.03,0.018,0.18,-0.017,0.017,0.016,0.057,0.019,0.288
basket_add_detail,0.53,0.341,1.0,0.086,0.124,0.038,0.109,0.051,0.247,0.222,0.404,0.09,0.462,0.457,0.008,0.048,0.024,0.175,-0.019,0.033,-0.002,0.058,0.031,0.414
sort_by,0.073,0.107,0.086,1.0,0.186,-0.01,0.058,0.024,0.124,0.028,0.06,0.022,0.059,0.056,0.006,0.028,0.012,0.128,-0.278,0.27,0.078,0.01,-0.051,0.055
image_picker,0.083,0.061,0.124,0.186,1.0,-0.007,0.047,0.039,0.075,0.025,0.092,0.066,0.074,0.071,0.006,0.031,0.009,0.075,-0.236,0.242,0.05,0.002,-0.042,0.071
account_page_click,0.057,0.029,0.038,-0.01,-0.007,1.0,0.014,0.013,0.017,0.034,0.066,0.033,0.188,0.081,0.008,0.048,0.027,0.074,0.039,-0.025,-0.017,0.017,-0.001,0.057
promo_banner_click,0.109,0.097,0.109,0.058,0.047,0.014,1.0,0.032,0.098,0.057,0.064,0.027,0.073,0.067,0.001,0.025,0.018,0.073,-0.032,0.035,0.008,0.019,-0.019,0.057
detail_wishlist_add,0.044,0.019,0.051,0.024,0.039,0.013,0.032,1.0,0.038,0.031,0.039,0.028,0.13,0.053,0.001,0.014,0.008,0.034,-0.01,0.014,0.002,0.013,-0.011,0.024
list_size_dropdown,0.292,0.47,0.247,0.124,0.075,0.017,0.098,0.038,1.0,0.141,0.152,0.029,0.17,0.16,0.001,0.028,0.016,0.236,-0.009,-0.013,0.036,0.1,-0.002,0.155
closed_minibasket_click,0.324,0.208,0.222,0.028,0.025,0.034,0.057,0.031,0.141,1.0,0.131,0.026,0.153,0.148,0.005,0.022,0.012,0.077,-0.001,-0.028,0.04,0.053,0.015,0.14
checked_delivery_detail,0.406,0.265,0.404,0.06,0.092,0.066,0.064,0.039,0.152,0.131,1.0,0.221,0.622,0.653,0.011,0.204,0.038,0.147,-0.048,0.058,0.012,0.039,0.021,0.799
checked_returns_detail,0.067,0.03,0.09,0.022,0.066,0.033,0.027,0.028,0.029,0.026,0.221,1.0,0.086,0.079,0.02,0.06,0.023,0.034,-0.029,0.031,0.006,-0.01,-0.003,0.059
sign_in,0.479,0.312,0.462,0.059,0.074,0.188,0.073,0.13,0.17,0.153,0.622,0.086,1.0,0.93,0.01,0.067,0.04,0.196,-0.033,0.045,0.012,0.081,0.015,0.666
saw_checkout,0.459,0.298,0.457,0.056,0.071,0.081,0.067,0.053,0.16,0.148,0.653,0.079,0.93,1.0,0.01,0.055,0.038,0.187,-0.037,0.048,0.014,0.081,0.017,0.709
saw_sizecharts,0.009,0.004,0.008,0.006,0.006,0.008,0.001,0.001,0.001,0.005,0.011,0.02,0.01,0.01,1.0,0.011,0.009,-0.0,-0.008,0.012,-0.001,-0.007,-0.009,0.008
saw_delivery,0.053,0.03,0.048,0.028,0.031,0.048,0.025,0.014,0.028,0.022,0.204,0.06,0.067,0.055,0.011,1.0,0.044,0.038,-0.024,0.025,0.005,0.001,-0.021,0.031
saw_account_upgrade,0.031,0.018,0.024,0.012,0.009,0.027,0.018,0.008,0.016,0.012,0.038,0.023,0.04,0.038,0.009,0.044,1.0,0.021,-0.007,0.009,0.002,0.007,-0.003,0.026
saw_homepage,0.203,0.18,0.175,0.128,0.075,0.074,0.073,0.034,0.236,0.077,0.147,0.034,0.196,0.187,-0.0,0.038,0.021,1.0,-0.052,0.078,-0.009,0.074,-0.069,0.158
device_mobile,0.016,-0.017,-0.019,-0.278,-0.236,0.039,-0.032,-0.01,-0.009,-0.001,-0.048,-0.029,-0.033,-0.037,-0.008,-0.024,-0.007,-0.052,1.0,-0.707,-0.553,0.051,0.09,-0.043
device_computer,-0.002,0.017,0.033,0.27,0.242,-0.025,0.035,0.014,-0.013,-0.028,0.058,0.031,0.045,0.048,0.012,0.025,0.009,0.078,-0.707,1.0,-0.186,-0.057,-0.154,0.049
device_tablet,-0.006,0.016,-0.002,0.078,0.05,-0.017,0.008,0.002,0.036,0.04,0.012,0.006,0.012,0.014,-0.001,0.005,0.002,-0.009,-0.553,-0.186,1.0,0.0,0.055,0.017
returning_user,0.127,0.057,0.058,0.01,0.002,0.017,0.019,0.013,0.1,0.053,0.039,-0.01,0.081,0.081,-0.007,0.001,0.007,0.074,0.051,-0.057,0.0,1.0,0.004,0.06
loc_uk,0.019,0.019,0.031,-0.051,-0.042,-0.001,-0.019,-0.011,-0.002,0.015,0.021,-0.003,0.015,0.017,-0.009,-0.021,-0.003,-0.069,0.09,-0.154,0.055,0.004,1.0,0.032
ordered,0.428,0.288,0.414,0.055,0.071,0.057,0.057,0.024,0.155,0.14,0.799,0.059,0.666,0.709,0.008,0.031,0.026,0.158,-0.043,0.049,0.017,0.06,0.032,1.0
