feature,support_1,support_0,rate_when_1,rate_when_0,global_rate,uplift_pp
checked_delivery_detail,28633,426768,0.6599378339677994,0.0004616091178345143,0.04192568747104201,0.6180121464967574
saw_checkout,36471,418930,0.5235118313180335,0.0,0.04192568747104201,0.48158614384699144
sign_in,40444,414957,0.46919196914251804,0.0002819569256573573,0.04192568747104201,0.427266281671476
basket_icon_click,45153,410248,0.30068876929550636,0.013445525633275482,0.04192568747104201,0.25876308182446434
basket_add_detail,51422,403979,0.2747267706429155,0.012292718185846294,0.04192568747104201,0.2328010831718735
closed_minibasket_click,7868,447533,0.25355871886120995,0.038205003876809085,0.04192568747104201,0.21163303139016795
basket_add_list,33937,421464,0.2451012169608392,0.02556564736252681,0.04192568747104201,0.2031755294897972
account_page_click,1626,453775,0.23370233702337023,0.041238499256239326,0.04192568747104201,0.19177664955232823
saw_account_upgrade,499,454902,0.19839679358717435,0.04175404812465102,0.04192568747104201,0.15647110611613235
checked_returns_detail,4180,451221,0.16578947368421051,0.04077824392038491,0.04192568747104201,0.12386378621316851
promo_banner_click,7381,448020,0.1301991600054193,0.04047140752644971,0.04192568747104201,0.08827347253437731
image_picker,12175,443226,0.12837782340862422,0.03955092887150122,0.04192568747104201,0.08645213593758222
saw_delivery,2524,452877,0.12638668779714737,0.041454964593035194,0.04192568747104201,0.08446100032610537
detail_wishlist_add,1599,453802,0.12132582864290181,0.04164591606030824,0.04192568747104201,0.07940014117185981
saw_sizecharts,177,455224,0.11864406779661017,0.04189585786338154,0.04192568747104201,0.07671838032556816
list_size_dropdown,104907,350494,0.09865881209070891,0.02494479220756989,0.04192568747104201,0.056733124619666904
sort_by,16781,438620,0.09790834872772779,0.03978386758469746,0.04192568747104201,0.05598266125668578
saw_homepage,132077,323324,0.09140122807150375,0.02171505981615964,0.04192568747104201,0.04947554060046174
device_computer,88448,366953,0.06201383863965268,0.03708376822099833,0.04192568747104201,0.020088151168610673
returning_user,243601,211800,0.05319354189843227,0.02896600566572238,0.04192568747104201,0.011267854427390263
device_tablet,58457,396944,0.05077236259130643,0.040622858640009675,0.04192568747104201,0.008846675120264422
loc_uk,424991,30410,0.04362210023271081,0.01821769154883262,0.04192568747104201,0.0016964127616688057
device_mobile,309994,145407,0.036036181345445395,0.05448155865948682,0.04192568747104201,-0.005889506125596612
