,0,1
basket_icon_click,5.86,13.44
basket_add_list,5.83,8.86
basket_add_detail,9.33,12.99
sort_by,3.48,3.87
image_picker,2.64,2.7
account_page_click,0.25,0.45
promo_banner_click,1.36,1.85
detail_wishlist_add,0.27,0.42
list_size_dropdown,18.51,26.97
closed_minibasket_click,0.99,2.37
checked_delivery_detail,5.26,7.18
checked_returns_detail,1.02,0.83
sign_in,6.4,11.04
saw_checkout,5.66,10.05
saw_sizecharts,0.05,0.03
saw_delivery,0.55,0.56
saw_account_upgrade,0.08,0.13
saw_homepage,25.4,32.13
device_mobile,65.51,70.29
device_computer,21.86,17.3
device_tablet,12.82,12.85
returning_user,0.0,100.0
loc_uk,93.2,93.43
