feature,avg_importance,max_importance,min_importance,std_importance,models_count,business_category,business_meaning
saw_checkout,0.9225562786654585,2.622717639283616,0.015348662,1.2031001554211809,3,Purchase Intent,Customer reached checkout page - very high conversion indicator
checked_delivery_detail_x_sign_in,0.5172636004672208,0.8977046,0.2259734933408505,0.28138535987269103,3,Purchase Intent,High-value interaction: authenticated user checking delivery
intent_score,0.36786086570041593,0.9067194942424452,0.080793604,0.38130264738583525,3,Derived Metrics,Composite metric of purchase intention signals
checked_delivery_detail,0.28693802143501884,0.7069877249180649,0.002777833,0.3031252361580432,3,Purchase Intent,Customer actively seeking delivery information - strong purchase intent signal
sign_in,0.23133090949275528,0.5818226149263201,0.00028137807,0.2519885939752248,3,Purchase Intent,"Customer authentication - indicates committed, returning user behavior"
sign_in_x_saw_checkout,0.15040796605696333,0.3405449711144864,6.459379e-05,0.14182000738908124,3,Purchase Intent,Critical interaction: authenticated user at checkout
basket_icon_click,0.10417849783103413,0.2852561341546871,0.00046847077,0.1284920581885314,3,Shopping Behavior,Customer engaging with shopping cart - moderate to high intent
basket_add_detail,0.08202426296201563,0.2089723335680492,0.00012049963,0.09101836572241426,3,Shopping Behavior,Customer adding items from product detail pages - strong intent signal
engagement_score,0.0809745302581835,0.1914168811598491,0.00020341901,0.08083288882529487,3,Derived Metrics,Composite metric of site engagement activities
device_computer,0.0754227567998892,0.2257988033868554,0.00011921866,0.1063319640999319,3,Device & Context,Desktop usage - typically associated with higher conversion rates
returning_user,0.0728160306289867,0.2174997881526794,0.00013198885,0.10230724752401897,3,Other,Customer familiarity and loyalty indicator
saw_delivery,0.06917430610866837,0.2070361687881557,0.00015049451,0.09748308746593214,3,Purchase Intent,Customer viewing delivery options - purchase planning signal
loc_uk,0.05972640927479377,0.1789376750811698,7.2836156e-05,0.08429510353368933,3,Other,Geographic market indicator affecting shipping and pricing
basket_icon_click_x_basket_add_detail,0.05765777485735133,0.1578440442977478,7.181653e-05,0.07110606558231958,3,Shopping Behavior,Shopping flow optimization opportunity
checked_returns_detail,0.0489573170318122,0.1464322788363875,6.521121e-05,0.06892532211492039,3,Purchase Intent,Customer researching return policy - risk mitigation behavior
list_size_dropdown,0.04322036074579863,0.1257368464589109,0.00010351966,0.05836769767722233,3,Other,User behavior signal: List Size Dropdown
sort_by,0.035745800800899334,0.1068522940903365,0.000110566805,0.05027992815472415,3,Other,User behavior signal: Sort By
saw_homepage,0.031706194392327636,0.0900074800049338,7.9980964e-05,0.041274757241092204,3,Site Navigation,User behavior signal: Saw Homepage
account_page_click_x_sign_in,0.029626498735316975,0.0887931483390937,3.664062e-05,0.04183713949500096,3,Purchase Intent,Interaction effect capturing combined impact of account_page_click and sign_in
device_tablet_returning,0.0295427734955995,0.0883507465663247,0.00013407758,0.041583516723926545,3,Device & Context,User behavior signal: Device Tablet Returning
basket_add_list_x_basket_add_detail,0.0247703896044765,0.0724346892771999,0.00022733981,0.03370874739311081,3,Shopping Behavior,Interaction effect capturing combined impact of basket_add_list and basket_add_detail
basket_add_list,0.021427311033229535,0.0545708305781029,0.00011060106,0.02375407639787406,3,Shopping Behavior,Customer adding items from category/list pages - moderate intent
detail_wishlist_add,0.02108025509693043,0.0631109687495641,5.8041427e-05,0.029720203169208752,3,Shopping Behavior,Customer saving items for future - future purchase pipeline
device_tablet,0.014346059703688798,0.0428683939600861,7.305719e-05,0.020168338283087693,3,Device & Context,Tablet usage - hybrid browsing and purchasing behavior
account_page_click,0.014278980974395674,0.0427182416314746,4.207284171242338e-05,0.020109599010811958,3,Site Navigation,Customer accessing account area - typically returning user behavior
device_computer_returning,0.010837143546179533,0.031851839307948,0.00014488059,0.014860400893085818,3,Device & Context,User behavior signal: Device Computer Returning
closed_minibasket_click,0.010106894478990268,0.0297491982927734,9.191279e-05,0.013890107854612407,3,Shopping Behavior,Customer reviewing mini cart contents - purchase consideration phase
saw_account_upgrade,0.009386982307924499,0.0280983083091405,1.7044834632995405e-05,0.013230910633900875,3,Site Navigation,User behavior signal: Saw Account Upgrade
image_picker,0.008882766375877532,0.0262561603605294,7.343136e-05,0.012285252785196673,3,Other,User behavior signal: Image Picker
device_mobile_returning,0.0068611310424464,0.0203571151753303,6.392546e-05,0.00954318649635952,3,Device & Context,User behavior signal: Device Mobile Returning
saw_sizecharts,0.005065103815746658,0.0151762647839395,4.775742300474575e-06,0.0071496715371236665,3,Site Navigation,User behavior signal: Saw Sizecharts
device_mobile,0.0032373939373399664,0.0094328089929163,8.2932376e-05,0.004381065076247315,3,Device & Context,Mobile device usage - affects UX and conversion patterns
promo_banner_click,0.0019513163467872333,0.005624057859639,9.7972275e-05,0.0025970574064509843,3,Site Navigation,User behavior signal: Promo Banner Click
